Target_name,Sample_category,assay_var.horz_label,CT,Well Position,Tm1,Tm2,Tm3,Tm4,assay_variable,biological_replicates,assay_var.identifier,assay_var.label,Copies.per.ul.template,mean_Copies.per.ul.template,std_curve equation,std_curve id
U64,Repressed,80a,38.93767547607422,E2,,,,,80a,1,,80a,0.012611009313556111,0.012611009313556111,Cq = -3.1 x log10(copies) + 33.05,Std30
U64,Repressed,80a,,F2,,,,,80a,2,,80a,,0.012611009313556111,Cq = -3.1 x log10(copies) + 33.05,Std30
U64,Repressed,80a,,G2,,,,,80a,3,,80a,,0.012611009313556111,Cq = -3.1 x log10(copies) + 33.05,Std30
U64,negative,NTC,,H2,,,,,NTC,1,,NTC,,,Cq = -3.1 x log10(copies) + 33.05,Std30
U64,Maximal,AOS107,34.34968948364258,A3,,,,,AOS107,1,,AOS107,0.3808424302698925,1.2271454195331277,Cq = -3.1 x log10(copies) + 33.05,Std30
U64,Maximal,AOS107,32.633296966552734,B3,,,,,AOS107,2,,AOS107,1.3627629991311905,1.2271454195331277,Cq = -3.1 x log10(copies) + 33.05,Std30
U64,Maximal,AOS107,32.15932083129883,C3,,,,,AOS107,3,,AOS107,1.9378308291983004,1.2271454195331277,Cq = -3.1 x log10(copies) + 33.05,Std30
U64,Maximal,AOS109,,D3,,,,,AOS109,1,,AOS109,,0.008937679736404665,Cq = -3.1 x log10(copies) + 33.05,Std30
U64,Maximal,AOS109,39.40120315551758,E3,,,,,AOS109,2,,AOS109,0.008937679736404665,0.008937679736404665,Cq = -3.1 x log10(copies) + 33.05,Std30
gfpbarcode,negative,MG1655,35.57927703857422,A1,,,,,MG1655,1,,MG1655,0.18195960587499657,0.1179417872953351,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,negative,MG1655,37.206111907958984,B1,,,,,MG1655,2,,MG1655,0.05392396871567362,0.1179417872953351,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,negative,MG1655,,C1,,,,,MG1655,3,,MG1655,,0.1179417872953351,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,Maximal,MJD61,16.75547981262207,D1,,,,,MJD61,1,,MJD61,235286.74596035163,245409.07423358905,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,Maximal,MJD61,16.75521469116211,E1,,,,,MJD61,2,,MJD61,235333.38508150517,245409.07423358905,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,Maximal,MJD61,16.593341827392578,F1,,,,,MJD61,3,,MJD61,265607.0916589103,245409.07423358905,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,Repressed,MJD61,23.3753662109375,G1,,,,,MJD61,1,,MJD61,1668.3366779280364,2354.641150854758,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,Repressed,MJD61,22.490680694580078,H1,,,,,MJD61,2,,MJD61,3232.356510917623,2354.641150854758,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,Repressed,MJD61,23.027883529663086,A2,,,,,MJD61,3,,MJD61,2163.230263718615,2354.641150854758,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,Maximal,80a,17.209543228149414,B2,,,,,80a,1,,80a,167561.51431078266,200499.30956465474,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,Maximal,80a,17.093530654907227,C2,,,,,80a,2,,80a,182742.97737465304,200499.30956465474,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,Maximal,80a,16.6679744720459,D2,,,,,80a,3,,80a,251193.43700852853,200499.30956465474,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,Repressed,80a,23.20068359375,E2,,,,,80a,1,,80a,1901.073172377718,1108.3015629434597,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,Repressed,80a,24.529569625854492,F2,,,,,80a,2,,80a,703.9508363871104,1108.3015629434597,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,Repressed,80a,24.499637603759766,G2,,,,,80a,3,,80a,719.8806800655507,1108.3015629434597,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,negative,NTC,28.68649673461914,H2,,,,,NTC,1,,NTC,31.469559987393144,31.469559987393144,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,Maximal,AOS107,19.454017639160156,A3,,,,,AOS107,1,,AOS107,31293.116608791843,63983.359590927896,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,Maximal,AOS107,18.206235885620117,B3,,,,,AOS107,2,,AOS107,79537.65167178273,63983.359590927896,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,Maximal,AOS107,18.17989730834961,C3,,,,,AOS107,3,,AOS107,81119.3104922091,63983.359590927896,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,Maximal,AOS109,19.006580352783203,D3,,,,,AOS109,1,,AOS109,43724.07843347798,50561.587969532586,Cq = -3.08 x log10(copies) + 33.3,Std30
gfpbarcode,Maximal,AOS109,18.6425724029541,E3,,,,,AOS109,2,,AOS109,57399.09750558719,50561.587969532586,Cq = -3.08 x log10(copies) + 33.3,Std30
